#TITLE=GDP GROWTH RACE
#SUB=Live trajectory + ranking HUD
#FEED=FEED_RACE // LIVE
#FOOTER=CONFIDENTIAL // VERIFIED
#TOPK=5
#MAX_SERIES=10
#UNIT=T
Year, United States, China, Japan, Germany, United Kingdom, India, France, Brazil, Italy, Russia
2000, 10.2, 1.2, 4.9, 1.9, 1.6, 0.4, 1.3, 0.6, 1.1, 0.2
2002, 10.9, 1.4, 4.1, 2.0, 1.7, 0.5, 1.5, 0.5, 1.2, 0.3
2004, 12.2, 1.9, 4.8, 2.7, 2.3, 0.7, 2.1, 0.6, 1.7, 0.5
2006, 13.8, 2.7, 4.5, 2.9, 2.7, 0.9, 2.3, 1.1, 1.9, 0.9
2008, 14.7, 4.5, 5.0, 3.7, 2.9, 1.2, 2.9, 1.6, 2.4, 1.6
2010, 15.0, 6.0, 5.7, 3.4, 2.4, 1.7, 2.6, 2.2, 2.1, 1.5
2012, 16.2, 8.5, 6.2, 3.5, 2.7, 1.8, 2.7, 2.4, 2.0, 2.2
2014, 17.5, 10.4, 4.8, 3.8, 3.0, 2.0, 2.8, 2.4, 2.1, 2.0
2016, 18.7, 11.2, 4.9, 3.4, 2.6, 2.2, 2.4, 1.7, 1.8, 1.2
2018, 20.5, 13.8, 5.0, 3.9, 2.8, 2.7, 2.7, 1.9, 2.0, 1.6
2020, 21.0, 14.7, 5.0, 3.8, 2.7, 2.6, 2.6, 1.4, 1.8, 1.4
2022, 25.4, 17.9, 4.2, 4.0, 3.0, 3.3, 2.7, 1.9, 2.0, 2.2
2024, 28.0, 18.5, 4.1, 4.5, 3.5, 4.1, 3.1, 2.2, 2.3, 2.0
